M&A SDC Deal Number,Date Announced,Target Full Name,Acquiror Full Name,Date Effective,Acquiror 6-digit CUSIP,Target 6-digit CUSIP,SDC Deal No
4356093020,12/18/2024,Xilio Therapeutics Inc,Gilead Sciences Inc,12/18/2024,375558,98422T,4356093020
4330613020,12/17/2024,Commscope Holding Co Inc,Commscope Holding Co Inc,12/17/2024,20337X,20337X,4330613020
4338025020,12/17/2024,Ascend Wellness Holdings Inc,Ascend Wellness Holdings Inc,12/17/2024,04351N,04351N,4338025020
4325563040,12/10/2024,IRIS Metals Ltd,Stardust Power Inc,12/10/2024,854936,7L6659,4325563040
4324703020,12/03/2024,Red Robin Gourmet Burgers Inc,Investor Group,12/03/2024,46145M,75689M,4324703020
4337954020,11/26/2024,Minerals Technologies Inc,Minerals Technologies Inc,11/26/2024,603158,603158,4337954020
4351161020,11/25/2024,Office Properties Income Trust,Creditors,12/11/2024,22542Z,67623C,4351161020
4317416020,11/20/2024,Ibex Ltd,Ibex Ltd,11/20/2024,G4690M,G4690M,4317416020
4316533040,11/15/2024,tTech Ltd,SIMPLY Secure Ltd,11/15/2024,9Q6599,9Q6596,4316533040
4336738040,11/15/2024,KIB Plug Energy Co Ltd,Coretec Group Inc,12/18/2024,21871W,4P8489,4336738040
4318439020,11/14/2024,Live Nation Entertainment Inc,Select Equity Group LP,11/14/2024,83982F,538034,4318439020
4336397020,11/12/2024,GrafTech International Ltd,Bondholders,12/23/2024,09788F,384313,4336397020
4329309020,11/07/2024,iHeartMedia Inc,Bondholders,12/23/2024,09788F,45174J,4329309020
4309176020,11/04/2024,Micropac Industries Inc,Teledyne Technologies Inc,12/30/2024,879360,595135,4309176020
4308820040,10/31/2024,New Zealand Energy Corp,Investor Group,11/22/2024,46145M,650158,4308820040
4307005020,10/29/2024,Profire Energy Inc,CECO Environmental Corp,12/31/2024,125141,74316X,4307005020
4308140020,10/23/2024,Lumos Pharma Inc,DPV Parent Inc,12/12/2024,9Q1861,651511,4308140020
4307772020,10/21/2024,Titan International Inc,Titan International Inc,10/21/2024,88830M,88830M,4307772020
4300671040,10/15/2024,Optrontec Inc,Choisangho Corp,10/31/2024,5N3064,68479K,4300671040
4343297020,10/15/2024,WideOpenWest Inc,WideOpenWest Inc,10/15/2024,96758W,96758W,4343297020
4297295020,10/07/2024,The Duckhorn Portfolio Inc,Marlee Buyer Inc,12/24/2024,8Q3497,26414D,4297295020
4296013040,10/02/2024,Korea Zinc Co Ltd,Troika Drive Investment LP,10/28/2024,8Q2550,60066Y,4296013040
4311788020,10/01/2024,New Fortress Energy Inc,Creditors,12/09/2024,22542Z,644393,4311788020
4292441040,09/25/2024,Ascentech KK,Cloud Software Group Inc,10/25/2024,6N1086,3A2359,4292441040
4301225020,09/20/2024,Qurate Retail Group Inc,Qurate Retail Group Inc,09/20/2024,74915M,74915M,4301225020
4290430040,09/15/2024,REE Automotive Ltd,MSSL Consolidated Inc,09/20/2024,7Q9014,M8287R,4290430040
4292474040,09/12/2024,Altius Renewable Royalties Corp,Northampton Capital Partners LLC,12/05/2024,8Q0298,02156G,4292474040
4300063020,09/05/2024,Beasley Broadcast Group Inc,Bondholders,10/07/2024,09788F,074014,4300063020
4300070020,09/05/2024,Beasley Broadcast Group Inc,Bondholders,10/07/2024,09788F,074014,4300070020
4281147020,09/03/2024,Lumen Technologies Inc,Bondholders,11/26/2024,09788F,550241,4281147020
4292905020,09/03/2024,Zeta Global Holdings Corp,Zeta Global Holdings Corp,09/03/2024,98956A,98956A,4292905020
4296377040,09/03/2024,PowerBand Solutions Inc,Investor Group,10/02/2024,46145M,73934B,4296377040
4278187020,08/28/2024,EnLink Midstream LLC,ONEOK Inc,10/15/2024,682680,29336T,4278187020
4282983020,08/28/2024,ConnectM Technology Solutions Inc,Creditors,09/26/2024,22542Z,207944,4282983020
4292064020,08/28/2024,ARC Document Solutions Inc,TechPrint Holdings LLC,11/22/2024,7Q3757,029263,4292064020
4277744040,08/26/2024,Givex Corp,Shift4 Payments Inc,11/08/2024,82452J,257273,4277744040
4274840020,08/16/2024,Personalis Inc,Tempus AI Inc,08/16/2024,88023B,71535D,4274840020
4206213020,08/15/2024,Terran Orbital Corp,Lockheed Martin Corp,10/30/2024,539830,88105P,4206213020
4225736020,08/15/2024,DermTech Inc,DERM-JES Holdings LLC,08/30/2024,7Q8435,24984K,4225736020
4270947040,08/12/2024,Greenbrook TMS Inc,Neuronetics Inc,12/10/2024,64131A,393704,4270947040
